experiment	task	auc	gauc	uauc	pos	log_path
BR_train_onetrans_lite	ext	0.860853	0.8084	0.8072	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_onetrans_lite/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
BR_train_onetrans_lite_semantic_din	buy	0.831458	0.6945	0.6895	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_onetrans_lite_semantic_din/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
BR_train_onetrans_lite_semantic_din	cat	0.830503	0.6982	0.6932	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_onetrans_lite_semantic_din/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
BR_train_onetrans_lite_semantic_din	click	0.798811	0.6937	0.6917	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_onetrans_lite_semantic_din/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
BR_train_onetrans_lite_semantic_din	ext	0.860868	0.8092	0.8083	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_onetrans_lite_semantic_din/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140351
BR_train_recency_repeat_purchase_v2	buy	0.835155	0.6988	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_recency_repeat_purchase_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140622
BR_train_recency_repeat_purchase_v2	cat	0.834063	0.7025	0.6975	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_recency_repeat_purchase_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140622
BR_train_recency_repeat_purchase_v2	click	0.802325	0.6982	0.6958	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_recency_repeat_purchase_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140622
BR_train_recency_repeat_purchase_v2	ext	0.864017	0.8102	0.8098	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_recency_repeat_purchase_v2/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140622
BR_train_rolemix_upgrade	buy	0.829045	0.6914	0.6864	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_rolemix_upgrade/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
BR_train_rolemix_upgrade	cat	0.827466	0.6941	0.689	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_rolemix_upgrade/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
BR_train_rolemix_upgrade	click	0.795279	0.689	0.6867	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_rolemix_upgrade/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
BR_train_rolemix_upgrade	ext	0.854524	0.7986	0.7975	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_rolemix_upgrade/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608140554
