experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_bs_lr	buy	0.835069	0.6989	0.694	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	cat	0.833968	0.7024	0.6973	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	click	0.802264	0.6979	0.6957	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr	ext	0.864008	0.8114	0.8108	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_prod_bs_lr_ema_weights	buy	0.836238	0.6991	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	cat	0.835118	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	click	0.803358	0.6988	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	ext	0.865394	0.8115	0.8101	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_igm_feature_cross	buy	0.835004	0.6988	0.694	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_igm_feature_cross/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
BR_train_prod_bs_lr_igm_feature_cross	cat	0.833885	0.7022	0.6973	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_igm_feature_cross/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
BR_train_prod_bs_lr_igm_feature_cross	click	0.802246	0.6983	0.696	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_igm_feature_cross/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
BR_train_prod_bs_lr_igm_feature_cross	ext	0.863994	0.8115	0.8103	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_igm_feature_cross/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608202028
BR_train_prod_bs_lr_lr_schedule_warmup	buy	0.835019	0.6988	0.6937	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
BR_train_prod_bs_lr_lr_schedule_warmup	cat	0.833911	0.7023	0.6972	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
BR_train_prod_bs_lr_lr_schedule_warmup	click	0.802198	0.6981	0.6956	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
BR_train_prod_bs_lr_lr_schedule_warmup	ext	0.863927	0.8106	0.8095	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_lr_schedule_warmup/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201928
