run_id	branch	commit	status	attempt
BR_train_prod_ema_br_mx_multidomain_fusion_v3@b9bd4d6efcb4@attempt_1	BR_train_prod_ema_br_mx_multidomain_fusion_v3	b9bd4d6efcb450f767d1645831c51152abf0898c	running	1
tf_train_base_new_input_bs_lr_ema_weights@449ec270501b@attempt_1	tf_train_base_new_input_bs_lr_ema_weights	0d182b8c2d07ebb6f510f68b59c2dcb73bd2183d	running	2
