experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_bs_lr_ema_weights	buy	0.836238	0.6991	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	cat	0.835118	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	click	0.803358	0.6988	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	ext	0.865394	0.8115	0.8101	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_ema_clicked_cvr_auxiliary_supervision	buy	0.835439	0.6979	0.6928	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_clicked_cvr_auxiliary_supervision/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
BR_train_prod_ema_clicked_cvr_auxiliary_supervision	cat	0.834267	0.7016	0.6965	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_clicked_cvr_auxiliary_supervision/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
BR_train_prod_ema_clicked_cvr_auxiliary_supervision	click	0.802202	0.6969	0.6944	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_clicked_cvr_auxiliary_supervision/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
BR_train_prod_ema_clicked_cvr_auxiliary_supervision	ext	0.864861	0.8119	0.8112	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_clicked_cvr_auxiliary_supervision/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030005
BR_train_prod_ema_din_masked_mean_residual	buy	0.836065	0.6988	0.6938	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_masked_mean_residual/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
BR_train_prod_ema_din_masked_mean_residual	cat	0.834935	0.7025	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_masked_mean_residual/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
BR_train_prod_ema_din_masked_mean_residual	click	0.803205	0.6986	0.6962	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_masked_mean_residual/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
BR_train_prod_ema_din_masked_mean_residual	ext	0.865374	0.8119	0.8106	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_din_masked_mean_residual/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030008
BR_train_prod_ema_rankmixer_learned_token_mixing	buy	0.836434	0.6993	0.6943	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_learned_token_mixing/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
BR_train_prod_ema_rankmixer_learned_token_mixing	cat	0.835314	0.7031	0.698	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_learned_token_mixing/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
BR_train_prod_ema_rankmixer_learned_token_mixing	click	0.803563	0.6989	0.6964	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_learned_token_mixing/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
BR_train_prod_ema_rankmixer_learned_token_mixing	ext	0.865426	0.8139	0.8118	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_rankmixer_learned_token_mixing/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030006
BR_train_prod_ema_semantic_domain_rankmixer_92token	buy	0.809072	0.6846	0.6794	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_semantic_domain_rankmixer_92token/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
BR_train_prod_ema_semantic_domain_rankmixer_92token	cat	0.813862	0.6907	0.6856	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_semantic_domain_rankmixer_92token/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
BR_train_prod_ema_semantic_domain_rankmixer_92token	click	0.773394	0.6797	0.6782	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_semantic_domain_rankmixer_92token/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
BR_train_prod_ema_semantic_domain_rankmixer_92token	ext	0.830044	0.7784	0.7793	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_semantic_domain_rankmixer_92token/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202609030309
