experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_bs_lr_ema_weights	buy	0.836238	0.6991	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	cat	0.835118	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	click	0.803358	0.6988	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	ext	0.865394	0.8115	0.8101	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_ema_buy_stop_gradient_click	buy	0.836263	0.6994	0.6943	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_stop_gradient_click/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270616
BR_train_prod_ema_buy_stop_gradient_click	cat	0.835165	0.7032	0.6981	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_stop_gradient_click/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270616
BR_train_prod_ema_buy_stop_gradient_click	click	0.803534	0.6997	0.697	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_stop_gradient_click/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270616
BR_train_prod_ema_buy_stop_gradient_click	ext	0.865802	0.8096	0.8075	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_buy_stop_gradient_click/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608270616
