experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_prod_bs_lr_ema_weights	20260727	20260728	20260728	click	0.804747	0.699800	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202334
BR_train_prod_bs_lr_ema_weights	20260727	20260728	20260728	ext	0.866334	0.829200	0.828300	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608202334
BR_train_prod_bs_lr_ema_weights	20260728	20260729	20260729	buy	0.840457	0.704600	0.698800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210001
BR_train_prod_bs_lr_ema_weights	20260728	20260729	20260729	cat	0.839318	0.709100	0.703200	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210001
BR_train_prod_bs_lr_ema_weights	20260728	20260729	20260729	click	0.806644	0.704400	0.700400	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210001
BR_train_prod_bs_lr_ema_weights	20260728	20260729	20260729	ext	0.858270	0.815100	0.810900	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608210001
BR_train_prod_bs_lr_ema_weights	20260729	20260730	20260730	buy	0.839589	0.704200	0.697800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210029
BR_train_prod_bs_lr_ema_weights	20260729	20260730	20260730	cat	0.838567	0.707800	0.701000	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210029
BR_train_prod_bs_lr_ema_weights	20260729	20260730	20260730	click	0.805841	0.703700	0.699900	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210029
BR_train_prod_bs_lr_ema_weights	20260729	20260730	20260730	ext	0.862638	0.806400	0.805000	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608210029
BR_train_prod_bs_lr_ema_weights	20260730	20260731	20260731	buy	0.839854	0.708500	0.702900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210059
BR_train_prod_bs_lr_ema_weights	20260730	20260731	20260731	cat	0.838779	0.711200	0.705300	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210059
BR_train_prod_bs_lr_ema_weights	20260730	20260731	20260731	click	0.807599	0.706800	0.704100	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210059
BR_train_prod_bs_lr_ema_weights	20260730	20260731	20260731	ext	0.859947	0.816000	0.814800	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608210059
BR_train_prod_bs_lr_ema_weights	20260731	20260801	20260801	buy	0.835542	0.704200	0.696700	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210136
BR_train_prod_bs_lr_ema_weights	20260731	20260801	20260801	cat	0.834887	0.707000	0.699700	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210136
BR_train_prod_bs_lr_ema_weights	20260731	20260801	20260801	click	0.806407	0.704300	0.700200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210136
BR_train_prod_bs_lr_ema_weights	20260731	20260801	20260801	ext	0.858831	0.811900	0.809000	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608210136
tf_train_base_new_input_bs_lr_ema_weights	20260720	20260721	20260724	buy	0.826011	0.700400	0.694200	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
tf_train_base_new_input_bs_lr_ema_weights	20260720	20260721	20260724	cat	0.821284	0.705700	0.699600	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
tf_train_base_new_input_bs_lr_ema_weights	20260720	20260721	20260724	click	0.740102	0.690900	0.684100	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
tf_train_base_new_input_bs_lr_ema_weights	20260720	20260721	20260724	ext	0.844465	0.801700	0.798600	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608271855
tf_train_base_new_input_bs_lr_ema_weights	20260724	20260725	20260725	buy	0.825279	0.703400	0.696200	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
tf_train_base_new_input_bs_lr_ema_weights	20260724	20260725	20260725	cat	0.823887	0.710700	0.703100	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
tf_train_base_new_input_bs_lr_ema_weights	20260724	20260725	20260725	click	0.750597	0.698600	0.691100	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
tf_train_base_new_input_bs_lr_ema_weights	20260724	20260725	20260725	ext	0.845043	0.799300	0.800300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608272234
tf_train_base_new_input_bs_lr_ema_weights	20260725	20260726	20260726	buy	0.830607	0.717400	0.710800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
tf_train_base_new_input_bs_lr_ema_weights	20260725	20260726	20260726	cat	0.824643	0.722600	0.715700	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
tf_train_base_new_input_bs_lr_ema_weights	20260725	20260726	20260726	click	0.750953	0.702500	0.695500	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
tf_train_base_new_input_bs_lr_ema_weights	20260725	20260726	20260726	ext	0.840945	0.789300	0.783300	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608272340
tf_train_base_new_input_bs_lr_ema_weights	20260726	20260727	20260727	buy	0.834443	0.711500	0.703200	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
tf_train_base_new_input_bs_lr_ema_weights	20260726	20260727	20260727	cat	0.822078	0.710500	0.702400	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
tf_train_base_new_input_bs_lr_ema_weights	20260726	20260727	20260727	click	0.741530	0.693500	0.686200	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
tf_train_base_new_input_bs_lr_ema_weights	20260726	20260727	20260727	ext	0.846802	0.812000	0.810100	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608280051
tf_train_base_new_input_bs_lr_ema_weights	20260727	20260728	20260728	buy	0.832940	0.704800	0.697400	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
tf_train_base_new_input_bs_lr_ema_weights	20260727	20260728	20260728	cat	0.825416	0.709000	0.701000	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
tf_train_base_new_input_bs_lr_ema_weights	20260727	20260728	20260728	click	0.740434	0.697300	0.690700	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
tf_train_base_new_input_bs_lr_ema_weights	20260727	20260728	20260728	ext	0.844962	0.812800	0.811700	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608280140
tf_train_base_new_input_bs_lr_ema_weights	20260728	20260729	20260729	buy	0.827999	0.700300	0.693800	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
tf_train_base_new_input_bs_lr_ema_weights	20260728	20260729	20260729	cat	0.822528	0.709500	0.702000	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608280201
