experiment	task	auc	gauc	uauc	pos	log_path
BR_train_prod_bs_lr_ema_weights	buy	0.836238	0.6991	0.6939	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	cat	0.835118	0.7026	0.6974	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	click	0.803358	0.6988	0.6961	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_bs_lr_ema_weights	ext	0.865394	0.8115	0.8101	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_bs_lr_ema_weights/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608201954
BR_train_prod_ema_amsgrad	buy	0.836545	0.7008	0.6954	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_amsgrad/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_amsgrad	cat	0.835404	0.7044	0.699	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_amsgrad/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_amsgrad	click	0.803649	0.6999	0.6974	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_amsgrad/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_amsgrad	ext	0.865404	0.8098	0.8069	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_amsgrad/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_bias_corrected_shadow	buy	0.836353	0.6991	0.6941	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_bias_corrected_shadow/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_bias_corrected_shadow	cat	0.835242	0.703	0.6979	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_bias_corrected_shadow/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_bias_corrected_shadow	click	0.803487	0.6989	0.6964	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_bias_corrected_shadow/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_bias_corrected_shadow	ext	0.865362	0.8122	0.8106	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_bias_corrected_shadow/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220825
BR_train_prod_ema_non_destructive_checkpoint	buy	0.83652	0.7	0.6947	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_non_destructive_checkpoint/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
BR_train_prod_ema_non_destructive_checkpoint	cat	0.835388	0.7036	0.6983	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_non_destructive_checkpoint/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
BR_train_prod_ema_non_destructive_checkpoint	click	0.803655	0.6996	0.6971	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_non_destructive_checkpoint/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
BR_train_prod_ema_non_destructive_checkpoint	ext	0.865739	0.8142	0.8128	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR_prod/BR_train_prod_ema_non_destructive_checkpoint/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608220725
